#,firmware,0.0.1,
#,devices,NXSCK,
#,product types,SOCK,
#,data,1.0.0
#,username,Basdeo05
#,platform,iOS

#,firmware,0.0.1,
#,devices,NXSCK,
#,product types,SOCK,
#,data,1.0.0
#,username,Basdeo05
#,platform,iOS

time,measurement,value,field,type,device
2021-09-14 10:24:39:1440,IMU,-55,ax,acceleration,NXSCK
2021-09-14 10:24:39:1440,IMU,11,ay,acceleration,NXSCK
2021-09-14 10:24:39:1440,IMU,-956,az,acceleration,NXSCK
2021-09-14 10:24:39:2050,IMU,5,gx,gyration,NXSCK
2021-09-14 10:24:39:2050,IMU,-16,gy,gyration,NXSCK
2021-09-14 10:24:39:2050,IMU,-2,gz,gyration,NXSCK
2021-09-14 10:24:39:2650,IMU,-40,mx,magnet,NXSCK
2021-09-14 10:24:39:2650,IMU,60,my,magnet,NXSCK
2021-09-14 10:24:39:2650,IMU,51,mz,magnet,NXSCK
2021-09-14 10:24:39:3240,sensor,578,a0,adc,NXSCK
2021-09-14 10:24:39:3240,sensor,716,a1,adc,NXSCK
2021-09-14 10:24:39:3240,sensor,464,a2,adc,NXSCK
2021-09-14 10:24:39:3840,IMU,-54,ax,acceleration,NXSCK
2021-09-14 10:24:39:3840,IMU,11,ay,acceleration,NXSCK
2021-09-14 10:24:39:3840,IMU,-957,az,acceleration,NXSCK
2021-09-14 10:24:39:4740,IMU,6,gx,gyration,NXSCK
2021-09-14 10:24:39:4740,IMU,-16,gy,gyration,NXSCK
2021-09-14 10:24:39:4740,IMU,-2,gz,gyration,NXSCK
2021-09-14 10:24:39:5340,IMU,-41,mx,magnet,NXSCK
2021-09-14 10:24:39:5340,IMU,60,my,magnet,NXSCK
2021-09-14 10:24:39:5340,IMU,51,mz,magnet,NXSCK
2021-09-14 10:24:39:6010,sensor,592,a0,adc,NXSCK
2021-09-14 10:24:39:6010,sensor,712,a1,adc,NXSCK
2021-09-14 10:24:39:6010,sensor,459,a2,adc,NXSCK
2021-09-14 10:24:39:6550,IMU,-54,ax,acceleration,NXSCK
2021-09-14 10:24:39:6550,IMU,10,ay,acceleration,NXSCK
2021-09-14 10:24:39:6550,IMU,-955,az,acceleration,NXSCK
2021-09-14 10:24:39:7150,IMU,5,gx,gyration,NXSCK
2021-09-14 10:24:39:7150,IMU,-16,gy,gyration,NXSCK
2021-09-14 10:24:39:7150,IMU,-2,gz,gyration,NXSCK
2021-09-14 10:24:39:7740,IMU,-41,mx,magnet,NXSCK
2021-09-14 10:24:39:7740,IMU,60,my,magnet,NXSCK
2021-09-14 10:24:39:7740,IMU,51,mz,magnet,NXSCK
2021-09-14 10:24:39:8340,sensor,579,a0,adc,NXSCK
2021-09-14 10:24:39:8340,sensor,722,a1,adc,NXSCK
2021-09-14 10:24:39:8340,sensor,457,a2,adc,NXSCK
2021-09-14 10:24:39:8930,IMU,-55,ax,acceleration,NXSCK
2021-09-14 10:24:39:8930,IMU,10,ay,acceleration,NXSCK
2021-09-14 10:24:39:8930,IMU,-955,az,acceleration,NXSCK
2021-09-14 10:24:39:9540,IMU,6,gx,gyration,NXSCK
2021-09-14 10:24:39:9540,IMU,-15,gy,gyration,NXSCK
2021-09-14 10:24:39:9540,IMU,-2,gz,gyration,NXSCK
2021-09-14 10:24:40:0160,IMU,-41,mx,magnet,NXSCK
2021-09-14 10:24:40:0160,IMU,60,my,magnet,NXSCK
2021-09-14 10:24:40:0160,IMU,51,mz,magnet,NXSCK
2021-09-14 10:24:40:0730,sensor,600,a0,adc,NXSCK
2021-09-14 10:24:40:0730,sensor,734,a1,adc,NXSCK
2021-09-14 10:24:40:0730,sensor,458,a2,adc,NXSCK
