#,firmware,0.0.1,
#,devices,NXSCK,
#,product types,SOCK,
#,data,1.0.0
#,username,Basdeo05
#,platform,iOS

time,measurement,value,field,type,device
2021-09-14 13:22:06:9340,IMU,16,gz,gyration,NXSCK
2021-09-14 13:22:07:0540,sensor,26,a0,adc,NXSCK
2021-09-14 13:22:07:0540,sensor,138,a1,adc,NXSCK
2021-09-14 13:22:07:0540,sensor,643,a2,adc,NXSCK
2021-09-14 13:22:07:1130,IMU,-650,ax,acceleration,NXSCK
2021-09-14 13:22:07:1130,IMU,126,ay,acceleration,NXSCK
2021-09-14 13:22:07:1130,IMU,-503,az,acceleration,NXSCK
2021-09-14 13:22:07:1740,IMU,-99,gx,gyration,NXSCK
2021-09-14 13:22:07:1740,IMU,206,gy,gyration,NXSCK
2021-09-14 13:22:07:1740,IMU,-48,gz,gyration,NXSCK
2021-09-14 13:22:07:2330,IMU,10,mx,magnet,NXSCK
2021-09-14 13:22:07:2330,IMU,107,my,magnet,NXSCK
2021-09-14 13:22:07:2330,IMU,59,mz,magnet,NXSCK
2021-09-14 13:22:07:2950,sensor,44,a0,adc,NXSCK
2021-09-14 13:22:07:2950,sensor,145,a1,adc,NXSCK
2021-09-14 13:22:07:2950,sensor,758,a2,adc,NXSCK
2021-09-14 13:22:07:3540,IMU,-460,ax,acceleration,NXSCK
2021-09-14 13:22:07:3540,IMU,243,ay,acceleration,NXSCK
2021-09-14 13:22:07:3540,IMU,-743,az,acceleration,NXSCK
2021-09-14 13:22:07:4140,IMU,74,gx,gyration,NXSCK
2021-09-14 13:22:07:4140,IMU,74,gy,gyration,NXSCK
2021-09-14 13:22:07:4140,IMU,0,gz,gyration,NXSCK
2021-09-14 13:22:07:4730,IMU,0,mx,magnet,NXSCK
2021-09-14 13:22:07:4730,IMU,109,my,magnet,NXSCK
2021-09-14 13:22:07:4730,IMU,78,mz,magnet,NXSCK
2021-09-14 13:22:07:5650,sensor,44,a0,adc,NXSCK
2021-09-14 13:22:07:5650,sensor,152,a1,adc,NXSCK
2021-09-14 13:22:07:5650,sensor,558,a2,adc,NXSCK
2021-09-14 13:22:07:6240,IMU,-1083,ax,acceleration,NXSCK
2021-09-14 13:22:07:6240,IMU,586,ay,acceleration,NXSCK
2021-09-14 13:22:07:6240,IMU,-448,az,acceleration,NXSCK
2021-09-14 13:22:07:6850,IMU,37,gx,gyration,NXSCK
2021-09-14 13:22:07:6850,IMU,-254,gy,gyration,NXSCK
2021-09-14 13:22:07:6850,IMU,94,gz,gyration,NXSCK
2021-09-14 13:22:07:7450,IMU,11,mx,magnet,NXSCK
2021-09-14 13:22:07:7450,IMU,106,my,magnet,NXSCK
2021-09-14 13:22:07:7450,IMU,55,mz,magnet,NXSCK
2021-09-14 13:22:07:8050,sensor,66,a0,adc,NXSCK
2021-09-14 13:22:07:8050,sensor,115,a1,adc,NXSCK
2021-09-14 13:22:07:8050,sensor,387,a2,adc,NXSCK
2021-09-14 13:22:07:8630,IMU,-771,ax,acceleration,NXSCK
2021-09-14 13:22:07:8630,IMU,264,ay,acceleration,NXSCK
2021-09-14 13:22:07:8630,IMU,-510,az,acceleration,NXSCK
2021-09-14 13:22:07:9250,IMU,171,gx,gyration,NXSCK
2021-09-14 13:22:07:9250,IMU,322,gy,gyration,NXSCK
2021-09-14 13:22:07:9250,IMU,191,gz,gyration,NXSCK
2021-09-14 13:22:07:9850,IMU,11,mx,magnet,NXSCK
2021-09-14 13:22:07:9850,IMU,100,my,magnet,NXSCK
2021-09-14 13:22:07:9850,IMU,61,mz,magnet,NXSCK
2021-09-14 13:22:08:0740,sensor,130,a0,adc,NXSCK
2021-09-14 13:22:08:0740,sensor,164,a1,adc,NXSCK
2021-09-14 13:22:08:0740,sensor,275,a2,adc,NXSCK
2021-09-14 13:22:08:1640,IMU,-718,ax,acceleration,NXSCK
2021-09-14 13:22:08:1640,IMU,211,ay,acceleration,NXSCK
2021-09-14 13:22:08:1640,IMU,-284,az,acceleration,NXSCK
2021-09-14 13:22:08:2250,IMU,-76,gx,gyration,NXSCK
2021-09-14 13:22:08:2250,IMU,-83,gy,gyration,NXSCK
2021-09-14 13:22:08:2250,IMU,16,gz,gyration,NXSCK
2021-09-14 13:22:08:2840,IMU,15,mx,magnet,NXSCK
2021-09-14 13:22:08:2840,IMU,93,my,magnet,NXSCK
2021-09-14 13:22:08:2840,IMU,45,mz,magnet,NXSCK
2021-09-14 13:22:08:3440,sensor,72,a0,adc,NXSCK
2021-09-14 13:22:08:3440,sensor,138,a1,adc,NXSCK
2021-09-14 13:22:08:3440,sensor,336,a2,adc,NXSCK
2021-09-14 13:22:08:4040,IMU,-858,ax,acceleration,NXSCK
2021-09-14 13:22:08:4040,IMU,558,ay,acceleration,NXSCK
2021-09-14 13:22:08:4040,IMU,-148,az,acceleration,NXSCK
2021-09-14 13:22:08:4650,IMU,-49,gx,gyration,NXSCK
2021-09-14 13:22:08:4650,IMU,-169,gy,gyration,NXSCK
2021-09-14 13:22:08:4650,IMU,-202,gz,gyration,NXSCK
2021-09-14 13:22:08:5230,IMU,12,mx,magnet,NXSCK
2021-09-14 13:22:08:5230,IMU,92,my,magnet,NXSCK
2021-09-14 13:22:08:5230,IMU,29,mz,magnet,NXSCK
2021-09-14 13:22:08:5850,sensor,46,a0,adc,NXSCK
2021-09-14 13:22:08:5850,sensor,116,a1,adc,NXSCK
2021-09-14 13:22:08:5850,sensor,704,a2,adc,NXSCK
2021-09-14 13:22:08:6740,IMU,-858,ax,acceleration,NXSCK
2021-09-14 13:22:08:6740,IMU,-637,ay,acceleration,NXSCK
2021-09-14 13:22:08:6740,IMU,410,az,acceleration,NXSCK
2021-09-14 13:22:08:7660,IMU,-21,mx,magnet,NXSCK
2021-09-14 13:22:08:7660,IMU,120,my,magnet,NXSCK
2021-09-14 13:22:08:7660,IMU,3,mz,magnet,NXSCK
2021-09-14 13:22:08:8250,sensor,48,a0,adc,NXSCK
2021-09-14 13:22:08:8250,sensor,141,a1,adc,NXSCK
2021-09-14 13:22:08:8250,sensor,663,a2,adc,NXSCK
2021-09-14 13:22:08:8950,IMU,1594,ax,acceleration,NXSCK
