time,measurement,value,field,type,device
2021-09-14 15:37:12:4460,sensor,120,a1,adc,NXSCK
2021-09-14 15:37:12:4460,sensor,189,a2,adc,NXSCK
2021-09-14 15:37:12:5360,IMU,-130,ax,acceleration,NXSCK
2021-09-14 15:37:12:5360,IMU,-434,ay,acceleration,NXSCK
2021-09-14 15:37:12:5360,IMU,892,az,acceleration,NXSCK
2021-09-14 15:37:12:7760,IMU,-69,mx,magnet,NXSCK
2021-09-14 15:37:12:7760,IMU,71,my,magnet,NXSCK
2021-09-14 15:37:12:7760,IMU,-15,mz,magnet,NXSCK
2021-09-14 15:37:12:9260,IMU,6,gx,gyration,NXSCK
2021-09-14 15:37:12:9260,IMU,-16,gy,gyration,NXSCK
2021-09-14 15:37:12:9260,IMU,-2,gz,gyration,NXSCK
2021-09-14 15:37:13:1970,sensor,930,a0,adc,NXSCK
2021-09-14 15:37:13:1970,sensor,111,a1,adc,NXSCK
2021-09-14 15:37:13:1970,sensor,185,a2,adc,NXSCK
2021-09-14 15:37:13:2560,IMU,-70,mx,magnet,NXSCK
2021-09-14 15:37:13:2560,IMU,71,my,magnet,NXSCK
2021-09-14 15:37:13:2560,IMU,-16,mz,magnet,NXSCK
2021-09-14 15:37:13:3470,sensor,931,a0,adc,NXSCK
2021-09-14 15:37:13:3470,sensor,120,a1,adc,NXSCK
2021-09-14 15:37:13:3470,sensor,186,a2,adc,NXSCK
2021-09-14 15:37:13:4050,IMU,-131,ax,acceleration,NXSCK
2021-09-14 15:37:13:4050,IMU,-433,ay,acceleration,NXSCK
2021-09-14 15:37:13:4050,IMU,893,az,acceleration,NXSCK
2021-09-14 15:37:13:7040,IMU,-70,mx,magnet,NXSCK
2021-09-14 15:37:13:7040,IMU,71,my,magnet,NXSCK
2021-09-14 15:37:13:7040,IMU,-16,mz,magnet,NXSCK
2021-09-14 15:37:13:8850,IMU,-131,ax,acceleration,NXSCK
2021-09-14 15:37:13:8850,IMU,-434,ay,acceleration,NXSCK
2021-09-14 15:37:13:8850,IMU,892,az,acceleration,NXSCK
2021-09-14 15:37:14:1560,IMU,-131,ax,acceleration,NXSCK
2021-09-14 15:37:14:1560,IMU,-434,ay,acceleration,NXSCK
2021-09-14 15:37:14:1560,IMU,892,az,acceleration,NXSCK
2021-09-14 15:37:14:2460,IMU,-70,mx,magnet,NXSCK
2021-09-14 15:37:14:2460,IMU,71,my,magnet,NXSCK
2021-09-14 15:37:14:2460,IMU,-16,mz,magnet,NXSCK
2021-09-14 15:37:14:3960,IMU,-130,ax,acceleration,NXSCK
2021-09-14 15:37:14:3960,IMU,-433,ay,acceleration,NXSCK
2021-09-14 15:37:14:3960,IMU,891,az,acceleration,NXSCK
2021-09-14 15:37:14:8760,IMU,6,gx,gyration,NXSCK
2021-09-14 15:37:14:8760,IMU,-16,gy,gyration,NXSCK
2021-09-14 15:37:14:8760,IMU,-2,gz,gyration,NXSCK
2021-09-14 15:37:15:1160,sensor,929,a0,adc,NXSCK
2021-09-14 15:37:15:1160,sensor,118,a1,adc,NXSCK
2021-09-14 15:37:15:1160,sensor,188,a2,adc,NXSCK
2021-09-14 15:37:15:1750,IMU,6,gx,gyration,NXSCK
2021-09-14 15:37:15:1750,IMU,-16,gy,gyration,NXSCK
2021-09-14 15:37:15:1750,IMU,-2,gz,gyration,NXSCK
2021-09-14 15:37:15:4770,IMU,-70,mx,magnet,NXSCK
2021-09-14 15:37:15:4770,IMU,71,my,magnet,NXSCK
2021-09-14 15:37:15:4770,IMU,-15,mz,magnet,NXSCK
2021-09-14 15:37:15:6560,IMU,6,gx,gyration,NXSCK
2021-09-14 15:37:15:6560,IMU,-16,gy,gyration,NXSCK
2021-09-14 15:37:15:6560,IMU,-2,gz,gyration,NXSCK
2021-09-14 15:37:15:9560,IMU,-129,ax,acceleration,NXSCK
2021-09-14 15:37:15:9560,IMU,-435,ay,acceleration,NXSCK
2021-09-14 15:37:15:9560,IMU,892,az,acceleration,NXSCK
2021-09-14 15:37:16:1060,sensor,922,a0,adc,NXSCK
2021-09-14 15:37:16:1060,sensor,119,a1,adc,NXSCK
2021-09-14 15:37:16:1060,sensor,188,a2,adc,NXSCK
2021-09-14 15:37:16:2570,IMU,-70,mx,magnet,NXSCK
2021-09-14 15:37:16:2570,IMU,71,my,magnet,NXSCK
2021-09-14 15:37:16:2570,IMU,-15,mz,magnet,NXSCK
2021-09-14 15:37:16:4360,sensor,927,a0,adc,NXSCK
2021-09-14 15:37:16:4360,sensor,111,a1,adc,NXSCK
2021-09-14 15:37:16:4360,sensor,193,a2,adc,NXSCK
2021-09-14 15:37:16:7370,IMU,-69,mx,magnet,NXSCK
2021-09-14 15:37:16:7370,IMU,70,my,magnet,NXSCK
2021-09-14 15:37:16:7370,IMU,-16,mz,magnet,NXSCK
2021-09-14 15:37:17:0360,IMU,-131,ax,acceleration,NXSCK
2021-09-14 15:37:17:0360,IMU,-433,ay,acceleration,NXSCK
2021-09-14 15:37:17:0360,IMU,895,az,acceleration,NXSCK
2021-09-14 15:37:17:0960,IMU,-131,ax,acceleration,NXSCK
2021-09-14 15:37:17:0960,IMU,-433,ay,acceleration,NXSCK
2021-09-14 15:37:17:0960,IMU,890,az,acceleration,NXSCK
2021-09-14 15:37:17:3360,IMU,6,gx,gyration,NXSCK
2021-09-14 15:37:17:3360,IMU,-15,gy,gyration,NXSCK
2021-09-14 15:37:17:3360,IMU,-2,gz,gyration,NXSCK
2021-09-14 15:37:17:3960,IMU,-122,ax,acceleration,NXSCK
2021-09-14 15:37:17:3960,IMU,-441,ay,acceleration,NXSCK
2021-09-14 15:37:17:3960,IMU,879,az,acceleration,NXSCK
2021-09-14 15:37:17:7270,IMU,-70,mx,magnet,NXSCK
2021-09-14 15:37:17:7270,IMU,71,my,magnet,NXSCK
2021-09-14 15:37:17:7270,IMU,-15,mz,magnet,NXSCK
2021-09-14 15:37:17:8460,IMU,5,gx,gyration,NXSCK
2021-09-14 15:37:17:8460,IMU,-16,gy,gyration,NXSCK
2021-09-14 15:37:17:8460,IMU,-2,gz,gyration,NXSCK
2021-09-14 15:37:18:1450,sensor,924,a0,adc,NXSCK
2021-09-14 15:37:18:1450,sensor,119,a1,adc,NXSCK
2021-09-14 15:37:18:1450,sensor,185,a2,adc,NXSCK
2021-09-14 15:37:18:2050,IMU,-70,mx,magnet,NXSCK
2021-09-14 15:37:18:2050,IMU,71,my,magnet,NXSCK
2021-09-14 15:37:18:2050,IMU,-15,mz,magnet,NXSCK
2021-09-14 15:37:18:3270,sensor,931,a0,adc,NXSCK
2021-09-14 15:37:18:3270,sensor,123,a1,adc,NXSCK
2021-09-14 15:37:18:3270,sensor,183,a2,adc,NXSCK
2021-09-14 15:37:18:4770,IMU,-70,mx,magnet,NXSCK
2021-09-14 15:37:18:4770,IMU,71,my,magnet,NXSCK
2021-09-14 15:37:18:4770,IMU,-15,mz,magnet,NXSCK
2021-09-14 15:37:18:9570,sensor,930,a0,adc,NXSCK
2021-09-14 15:37:18:9570,sensor,116,a1,adc,NXSCK
2021-09-14 15:37:18:9570,sensor,190,a2,adc,NXSCK
2021-09-14 15:37:19:2860,IMU,-130,ax,acceleration,NXSCK
2021-09-14 15:37:19:2860,IMU,-433,ay,acceleration,NXSCK
2021-09-14 15:37:19:2860,IMU,891,az,acceleration,NXSCK
2021-09-14 15:37:19:5560,IMU,-131,ax,acceleration,NXSCK
2021-09-14 15:37:19:5560,IMU,-435,ay,acceleration,NXSCK
2021-09-14 15:37:19:5560,IMU,895,az,acceleration,NXSCK
2021-09-14 15:37:19:6170,sensor,929,a0,adc,NXSCK
2021-09-14 15:37:19:6170,sensor,115,a1,adc,NXSCK
2021-09-14 15:37:19:6170,sensor,183,a2,adc,NXSCK
